route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19-921-V-s18-1,1,921V,"Gilching, Gymnasium - Etterschlag - Inning - Buch am Ammersee - Herrsching",701,,008351,FFFFFF
19-923-s18-1,1,923,Steinebach - ESPE/3M - Weßling - Steinebach - GP Inning/Wörthsee,701,,008351,FFFFFF
19-924-s18-1,1,924,Seefeld-Hechendorf - Oberalting - Seefeld-Hechendorf,701,,008351,FFFFFF
19-924-s18-2,1,924,Seefeld-Hechendorf - Oberalting - Seefeld-Hechendorf,701,,008351,FFFFFF
19-928-s18-1,1,928,"Walchstadt - Steinebach Seefeld-Hechendorf - Andechs, Kloster",701,,008351,FFFFFF
19-928-V-s18-1,1,928V,"Weßling - Steinebach - Walchstadt - Herrsching Gilching, Gymnasium - Walchstadt - Breitbrunn",701,,008351,FFFFFF
19-936-s18-1,1,936,Fürstenried West - Gauting,701,,008351,FFFFFF
19-936-s18-2,1,936,Fürstenried West - Gauting,701,,008351,FFFFFF
19-947-s18-1,1,947,Weßling - Neugilching - Gilching-Argelsried,701,,008351,FFFFFF
19-949-s18-1,1,949,Starnberg Nord - Gauting - Gilching-Argelsried,701,,008351,FFFFFF
19-950-s18-1,1,950,"Starnberg Nord - Oberalting, Marienplatz - Herrsching",701,,008351,FFFFFF
19-950-V-s18-1,1,950V,Seefeld-Hechendorf - Herrsching Seefeld-Hechendorf - Frieding - Unering,701,,008351,FFFFFF
19-951-s18-1,1,951,Herrsching - Andechs - Starnberg Nord,701,,008351,FFFFFF
